rank;name;description;defaultStatus;retry;delay
1;TomEE;Exstream Tomcat Server;Running;3;5
2;StreamServe Management Gateway 16.6;Exstream Management Gateway;Running;3;5
3;nginx166;Nginx Reverse Prox;Running;3;5
4;3470F65E-C6B1-0246-9F3C-F33474DDF8CB;WGE1AS170P_TCSExstream_PRD_SGW1;Running;3;5
5;56412BF4-DAB0-B942-9DBF-27D6ECC73080;WGE1AS170P_TCSExstream_PRD_TaskScheduler;Running;3;5
6;B57F985A-4DF2-6944-9506-29796BDF92FA;AS00000;Running;3;5
7;8A591A63-9AE1-4F41-BFFD-5C56F6635F63;SFE_CORRESP_LIBRE;Running;3;5
8;BAAD43F8-BB7D-8B4F-A70A-F99EAAE1929F;SFE_ENVOI_OFFRE3;Running;5;
9;E3B14182-BCF3-4945-8EDD-57EBFC6BC8B9;SFE_FULFILLMENT;Running;3;5
10;A9468664-D11D-B84B-9E62-6D21F2E21093;SFE_MASTERCARD;Running;3;5
11;B1178CAC-2AD1-FE40-B251-6CC476EFFF15;SFE_MUTATION;Running;3;5
12;483D8314-B387-E942-95B7-BAF305F7C542;SFE_OUTBOUND_RAPPEL;Running;3;5
13;0678EA28-12DE-504D-B8AC-508AF10F9C68;SFE_REMBOURS_BV;Running;3;5
14;49E8D2C5-5119-D54E-BEF1-098DDA1C5338;SFE_RENSEIGN_INFOS;Running;3;5
15;CC07E3B4-86B3-6F42-B016-E2001E7DCEEB;SFE_RESILIATION_ANNUL;Running;3;5
16;FBA5D7D7-BB5C-2049-8488-D8B48F2E6194;SFE_SOUSCRIP_VENTE;Running;3;5
17;FB773A3F-4139-1247-8E42-BCB4B07A5404;x-dunning-action;Running;3;5
18;55531E90-9712-9649-993D-0CBD958B8612;x-endorsement-created;Running;3;5
19;CEDD850E-D60B-5448-91E3-F7EE72437FFD;x-IBAN-details-requested;Running;3;5
20;29FD1EA3-12C2-5149-B9EE-5305FE1644AF;x-insured-object-adress-changed;Running;3;5
21;E4D32C23-043E-A548-8D62-0A4DA2455109;x-invoice-created;Running;3;5
22;F2EC6D3F-5138-3142-89CF-E0408DA4424E;x-new-benef;Running;3;5
23;07D940EE-FCD1-AF44-A260-4C72D6018640;x-new-card16;Running;3;5
24;130D8F95-05FE-A444-A361-0FCD97ACD2A2;x-new-policy;Running;3;5
25;8545DD1F-7BAC-F848-A484-E7CE18C28108;x-partial-payment;Running;3;5
26;07116D15-D9F5-7C45-B5BD-0DDBAA7E7C7F;x-partn-card-inv-paid;Running;3;5
27;CD364CFE-DEE2-EA48-A2D9-29C9087ABB4F;x-pmnt-slip-benef;Running;3;5
28;D4E3357A-4237-E74F-A828-E527350107E9;x-pmnt-slip-created;Running;3;5
29;0DEFF847-275D-C942-8E49-291253EA3DE3;x-policy-cancelled;Running;3;5
30;7C91E9EC-CDD8-6447-8445-5F1FCB139F7B;x-policy-depend-cancel;Running;3;5
31;AA78429E-05D5-6949-A6E0-FEE4FAFC26EB;x-post-renew-endors;Running;3;5
32;6507343E-669C-3843-8B3D-724D91CB377B;x-print-card;Running;3;5
33;A0E9945B-4C1F-2F46-97C2-F1790B3DB0D9;x-print-certificate;Running;3;5
34;D70787C8-136D-844B-ADAA-A3DD48B3AADB;x-print-invoice;Running;3;5
35;A7ABCEEA-36AB-3145-A177-5A2DDF1685F1;x-products-overview;Running;3;5
